img_red_circle_smile.ppm	red	circle	smile
img_red_circle_sad.ppm	red	circle	sad
img_red_square_smile.ppm	red	square	smile
img_red_square_sad.ppm	red	square	sad
img_red_triangle_smile.ppm	red	triangle	smile
img_red_triangle_sad.ppm	red	triangle	sad
img_green_circle_smile.ppm	green	circle	smile
img_green_circle_sad.ppm	green	circle	sad
img_green_square_smile.ppm	green	square	smile
img_green_square_sad.ppm	green	square	sad
img_green_triangle_smile.ppm	green	triangle	smile
img_green_triangle_sad.ppm	green	triangle	sad
img_blue_circle_smile.ppm	blue	circle	smile
img_blue_circle_sad.ppm	blue	circle	sad
img_blue_square_smile.ppm	blue	square	smile
img_blue_square_sad.ppm	blue	square	sad
img_blue_triangle_smile.ppm	blue	triangle	smile
img_blue_triangle_sad.ppm	blue	triangle	sad
