red_circle_smile.ppm	red circle smile
red_circle_sad.ppm	red circle sad
red_circle_surprise.ppm	red circle surprise
red_circle_neutral.ppm	red circle neutral
red_square_smile.ppm	red square smile
red_square_sad.ppm	red square sad
red_square_surprise.ppm	red square surprise
red_square_neutral.ppm	red square neutral
red_triangle_smile.ppm	red triangle smile
red_triangle_sad.ppm	red triangle sad
red_triangle_surprise.ppm	red triangle surprise
red_triangle_neutral.ppm	red triangle neutral
red_star_smile.ppm	red star smile
red_star_sad.ppm	red star sad
red_star_surprise.ppm	red star surprise
red_star_neutral.ppm	red star neutral
blue_circle_smile.ppm	blue circle smile
blue_circle_sad.ppm	blue circle sad
blue_circle_surprise.ppm	blue circle surprise
blue_circle_neutral.ppm	blue circle neutral
blue_square_smile.ppm	blue square smile
blue_square_sad.ppm	blue square sad
blue_square_surprise.ppm	blue square surprise
blue_square_neutral.ppm	blue square neutral
blue_triangle_smile.ppm	blue triangle smile
blue_triangle_sad.ppm	blue triangle sad
blue_triangle_surprise.ppm	blue triangle surprise
blue_triangle_neutral.ppm	blue triangle neutral
blue_star_smile.ppm	blue star smile
blue_star_sad.ppm	blue star sad
blue_star_surprise.ppm	blue star surprise
blue_star_neutral.ppm	blue star neutral
green_circle_smile.ppm	green circle smile
green_circle_sad.ppm	green circle sad
green_circle_surprise.ppm	green circle surprise
green_circle_neutral.ppm	green circle neutral
green_square_smile.ppm	green square smile
green_square_sad.ppm	green square sad
green_square_surprise.ppm	green square surprise
green_square_neutral.ppm	green square neutral
green_triangle_smile.ppm	green triangle smile
green_triangle_sad.ppm	green triangle sad
green_triangle_surprise.ppm	green triangle surprise
green_triangle_neutral.ppm	green triangle neutral
green_star_smile.ppm	green star smile
green_star_sad.ppm	green star sad
green_star_surprise.ppm	green star surprise
green_star_neutral.ppm	green star neutral
yellow_circle_smile.ppm	yellow circle smile
yellow_circle_sad.ppm	yellow circle sad
yellow_circle_surprise.ppm	yellow circle surprise
yellow_circle_neutral.ppm	yellow circle neutral
yellow_square_smile.ppm	yellow square smile
yellow_square_sad.ppm	yellow square sad
yellow_square_surprise.ppm	yellow square surprise
yellow_square_neutral.ppm	yellow square neutral
yellow_triangle_smile.ppm	yellow triangle smile
yellow_triangle_sad.ppm	yellow triangle sad
yellow_triangle_surprise.ppm	yellow triangle surprise
yellow_triangle_neutral.ppm	yellow triangle neutral
yellow_star_smile.ppm	yellow star smile
yellow_star_sad.ppm	yellow star sad
yellow_star_surprise.ppm	yellow star surprise
yellow_star_neutral.ppm	yellow star neutral
orange_circle_smile.ppm	orange circle smile
orange_circle_sad.ppm	orange circle sad
orange_circle_surprise.ppm	orange circle surprise
orange_circle_neutral.ppm	orange circle neutral
orange_square_smile.ppm	orange square smile
orange_square_sad.ppm	orange square sad
orange_square_surprise.ppm	orange square surprise
orange_square_neutral.ppm	orange square neutral
orange_triangle_smile.ppm	orange triangle smile
orange_triangle_sad.ppm	orange triangle sad
orange_triangle_surprise.ppm	orange triangle surprise
orange_triangle_neutral.ppm	orange triangle neutral
orange_star_smile.ppm	orange star smile
orange_star_sad.ppm	orange star sad
orange_star_surprise.ppm	orange star surprise
orange_star_neutral.ppm	orange star neutral
pink_circle_smile.ppm	pink circle smile
pink_circle_sad.ppm	pink circle sad
pink_circle_surprise.ppm	pink circle surprise
pink_circle_neutral.ppm	pink circle neutral
pink_square_smile.ppm	pink square smile
pink_square_sad.ppm	pink square sad
pink_square_surprise.ppm	pink square surprise
pink_square_neutral.ppm	pink square neutral
pink_triangle_smile.ppm	pink triangle smile
pink_triangle_sad.ppm	pink triangle sad
pink_triangle_surprise.ppm	pink triangle surprise
pink_triangle_neutral.ppm	pink triangle neutral
pink_star_smile.ppm	pink star smile
pink_star_sad.ppm	pink star sad
pink_star_surprise.ppm	pink star surprise
pink_star_neutral.ppm	pink star neutral
purple_circle_smile.ppm	purple circle smile
purple_circle_sad.ppm	purple circle sad
purple_circle_surprise.ppm	purple circle surprise
purple_circle_neutral.ppm	purple circle neutral
purple_square_smile.ppm	purple square smile
purple_square_sad.ppm	purple square sad
purple_square_surprise.ppm	purple square surprise
purple_square_neutral.ppm	purple square neutral
purple_triangle_smile.ppm	purple triangle smile
purple_triangle_sad.ppm	purple triangle sad
purple_triangle_surprise.ppm	purple triangle surprise
purple_triangle_neutral.ppm	purple triangle neutral
purple_star_smile.ppm	purple star smile
purple_star_sad.ppm	purple star sad
purple_star_surprise.ppm	purple star surprise
purple_star_neutral.ppm	purple star neutral
white_circle_smile.ppm	white circle smile
white_circle_sad.ppm	white circle sad
white_circle_surprise.ppm	white circle surprise
white_circle_neutral.ppm	white circle neutral
white_square_smile.ppm	white square smile
white_square_sad.ppm	white square sad
white_square_surprise.ppm	white square surprise
white_square_neutral.ppm	white square neutral
white_triangle_smile.ppm	white triangle smile
white_triangle_sad.ppm	white triangle sad
white_triangle_surprise.ppm	white triangle surprise
white_triangle_neutral.ppm	white triangle neutral
white_star_smile.ppm	white star smile
white_star_sad.ppm	white star sad
white_star_surprise.ppm	white star surprise
white_star_neutral.ppm	white star neutral
brown_circle_smile.ppm	brown circle smile
brown_circle_sad.ppm	brown circle sad
brown_circle_surprise.ppm	brown circle surprise
brown_circle_neutral.ppm	brown circle neutral
brown_square_smile.ppm	brown square smile
brown_square_sad.ppm	brown square sad
brown_square_surprise.ppm	brown square surprise
brown_square_neutral.ppm	brown square neutral
brown_triangle_smile.ppm	brown triangle smile
